Cidade,Latitude,Longitude
"SÃO PAULO, SP",-23.5557714,-46.6395571
"SANTOS, SP",-23.9592201,-46.3317787
"SÃO BERNARDO DO CAMPO, SP",-23.7018047,-46.5536333
"SÃO JOSÉ DOS CAMPOS, SP",-23.2198396,-45.8915658
"PAULÍNIA, SP",-22.7410508,-47.1743005
"PIRACICABA, SP",-22.7344425,-47.64803149999999
"SOROCABA, SP",-23.470905,-47.4851488
"JUNDIAÍ, SP",-23.1856528,-46.8892222
"GUARULHOS, SP",-23.4596858,-46.5328559
"CAMPINAS, SP",-22.9050824,-47.0613327
"BARUERI, SP",-23.5035038,-46.8785555
"SÃO SEBASTIÃO, SP",-23.8010738,-45.402604
"TAUBATÉ, SP",-23.024996,-45.5638792
"INDAIATUBA, SP",-23.0882014,-47.2079588
"GAVIÃO PEIXOTO, SP",-21.8357036,-48.4930404
"PINDAMONHANGABA, SP",-22.9263912,-45.4620449
"CUBATÃO, SP",-23.8918211,-46.4248391
"ILHABELA, SP",-23.8165908,-45.3667925
"COTIA, SP",-23.6059252,-46.926502
"VINHEDO, SP",-23.0263471,-46.9818714
"GUARATINGUETÁ, SP",-22.8036522,-45.1859013
"CAJAMAR, SP",-23.3358524,-46.8401443
"LENÇÓIS PAULISTA, SP",-22.5988095,-48.7923795
"MATÃO, SP",-21.6012678,-48.36135669999999
"SUMARÉ, SP",-22.8244116,-47.2707792
"EMBU, SP",-23.6498081,-46.8532804
"LIMEIRA, SP",-22.5838179,-47.4097569
"HORTOLÂNDIA, SP",-22.8573469,-47.22105639999999
"SÃO CARLOS, SP",-22.0123291,-47.8908261
"SUZANO, SP",-23.5375265,-46.3092435
"GUARUJÁ, SP",-23.9939372,-46.25745740000001
"SANTO ANDRÉ, SP",-23.6876695,-46.493085
"ITAPEVI, SP",-23.5507572,-46.9388116
"SÃO CAETANO DO SUL, SP",-23.6164434,-46.567958
"LINS, SP",-21.6732788,-49.7470611
"ITUPEVA, SP",-23.1558391,-47.05653969999999
"PEDERNEIRAS, SP",-22.3491152,-48.7784668
"JACAREÍ, SP",-23.3029181,-45.9674523
"JAGUARIÚNA, SP",-22.7042274,-46.9848946
"ITU, SP",-23.2636298,-47.3010875
"AMERICANA, SP",-22.7380303,-47.3340223
"ARARAQUARA, SP",-21.7742763,-48.1742397
"COLINA, SP",-20.7096088,-48.5318251
"OSASCO, SP",-23.533385,-46.7914568
"PROMISSÃO, SP",-21.5371574,-49.85893770000001
"RIBEIRÃO PRETO, SP",-21.1694018,-47.8110855
"VALINHOS, SP",-22.9691172,-46.9958185
"ITATIBA, SP",-23.0116344,-46.8375899
"ATIBAIA, SP",-23.1155873,-46.5532067
"DIADEMA, SP",-23.6879922,-46.6251796
